ensembl_gene_id	external_gene_name	gene_biotype	transcript_count	start_position	end_position	chromosome_name
ENSG00000279493		artifact	1	5011799	5017145	21
ENSG00000277117		artifact	1	5022531	5036771	21
ENSG00000279687		artifact	1	5073458	5087867	21
ENSG00000289905		lncRNA	1	5086740	5087232	21
ENSG00000280071		artifact	1	5116341	5128369	21
ENSG00000275464		artifact	1	5130871	5154658	21
ENSG00000280433		artifact	1	5155499	5163695	21
ENSG00000279669		lncRNA	1	5232668	5243833	21
ENSG00000279094	LINC01670	lncRNA	3	5499151	5502542	21
ENSG00000274333		lncRNA	13	5553637	5614880	21
ENSG00000277777	Y_RNA	misc_RNA	1	5597390	5597490	21
ENSG00000279186		TEC	1	5703182	5705637	21
ENSG00000279784		lncRNA	1	5705345	5707160	21
ENSG00000279064		lncRNA	1	5707004	5709456	21
ENSG00000274559		artifact	1	5972924	5973383	21
ENSG00000280013		artifact	1	6008604	6008810	21
ENSG00000280191		artifact	1	6060340	6076305	21
ENSG00000280179		artifact	1	6084381	6091407	21
ENSG00000275993		artifact	1	6111131	6123778	21
ENSG00000288187		lncRNA	1	6215291	6217681	21
ENSG00000274790	Y_RNA	misc_RNA	1	6223480	6223580	21
ENSG00000275496		lncRNA	7	6228966	6267317	21
ENSG00000280019		unprocessed_pseudogene	1	6272135	6276532	21
ENSG00000279709		unprocessed_pseudogene	1	6309161	6312948	21
ENSG00000278903		lncRNA	15	6318378	6360415	21
ENSG00000276902	Y_RNA	misc_RNA	1	6365955	6366055	21
ENSG00000274276		artifact	1	6444869	6467513	21
ENSG00000275895		artifact	1	6484623	6499248	21
ENSG00000276076		artifact	1	6499203	6564489	21
ENSG00000280145		lncRNA	8	6630182	6670695	21
ENSG00000278878		lncRNA	2	6667304	6670667	21
ENSG00000279788		unprocessed_pseudogene	1	6676178	6679962	21
ENSG00000279728		unprocessed_pseudogene	1	6712596	6716361	21
ENSG00000280164		lncRNA	1	6721812	6725209	21
ENSG00000279998		lncRNA	1	6789592	6812297	21
ENSG00000284550	hsa-mir-8069-1	miRNA	1	6859171	6859256	21
ENSG00000280172		artifact	1	6897291	6899280	21
ENSG00000279751		lncRNA	1	6904884	6906692	21
ENSG00000280018		lncRNA	4	6986450	6997765	21
ENSG00000279477		unprocessed_pseudogene	1	7003248	7007022	21
ENSG00000278884		lncRNA	1	7020599	7025166	21
ENSG00000277067		lncRNA	6	7048891	7087229	21
ENSG00000274046	Y_RNA	misc_RNA	1	7092616	7092716	21
ENSG00000280330	CTBP2P10	processed_pseudogene	1	7129103	7130287	21
ENSG00000279303		TEC	1	7135334	7137789	21
ENSG00000279647		unprocessed_pseudogene	1	7385058	7388799	21
ENSG00000279895		unprocessed_pseudogene	1	7421442	7425839	21
ENSG00000276077		lncRNA	7	7430659	7469007	21
ENSG00000274484	Y_RNA	misc_RNA	1	7474394	7474494	21
ENSG00000279177	CTBP2P9	processed_pseudogene	1	7626344	7627528	21
ENSG00000276546	Y_RNA	misc_RNA	1	7663911	7664011	21
ENSG00000277991		lncRNA	8	7669397	7681742	21
ENSG00000273590		artifact	1	7744951	7758630	21
ENSG00000277277		artifact	1	7769588	7770548	21
ENSG00000278961		artifact	1	7788703	7793954	21
ENSG00000276289		artifact	1	7816677	7829632	21
ENSG00000279967		TEC	1	8101251	8103706	21
ENSG00000278996		lncRNA	1	8197620	8227646	21
ENSG00000275950	MIR6724-1	miRNA	1	8205315	8205406	21
ENSG00000275664		misc_RNA	1	8205851	8205940	21
ENSG00000275708	MIR3648-1	miRNA	1	8208473	8208652	21
ENSG00000277437		miRNA	1	8208844	8208904	21
ENSG00000280800		lncRNA	1	8210384	8211306	21
ENSG00000278233	RNA5-8SN2	rRNA	1	8212572	8212724	21
ENSG00000286155		TEC	1	8235354	8235832	21
ENSG00000286252		TEC	1	8237649	8237979	21
ENSG00000286057		TEC	1	8238859	8239092	21
ENSG00000286012		TEC	1	8240736	8241047	21
ENSG00000274060	MIR6724-2	miRNA	1	8249505	8249596	21
ENSG00000277671		misc_RNA	1	8250060	8250149	21
ENSG00000281383		lncRNA	1	8254592	8255514	21
ENSG00000277739	5_8S_rRNA	rRNA	1	8256781	8256933	21
ENSG00000280441		lncRNA	4	8380643	8454792	21
ENSG00000277379	MIR6724-3	miRNA	1	8388362	8388453	21
ENSG00000274868		misc_RNA	1	8388898	8388987	21
ENSG00000280614		lncRNA	1	8393419	8394341	21
ENSG00000275215	RNA5-8SN3	rRNA	1	8395607	8395759	21
ENSG00000286267		TEC	1	8417757	8418235	21
ENSG00000286146		TEC	1	8420675	8421003	21
ENSG00000286054		TEC	1	8421883	8422116	21
ENSG00000286178		TEC	1	8423760	8424071	21
ENSG00000275692	MIR6724-4	miRNA	1	8432530	8432621	21
ENSG00000278775		misc_RNA	1	8433085	8433174	21
ENSG00000281181		lncRNA	1	8437629	8438551	21
ENSG00000278189	RNA5-8SN1	rRNA	1	8439823	8439975	21
ENSG00000286149		TEC	1	8462320	8462798	21
ENSG00000286032		TEC	1	8465254	8465586	21
ENSG00000286091		TEC	1	8466466	8466699	21
ENSG00000286148		TEC	1	8468320	8468631	21
ENSG00000279990	RPSAP68	processed_pseudogene	1	8603547	8603984	21
ENSG00000279615		processed_pseudogene	1	8680538	8680934	21
ENSG00000279167		processed_pseudogene	1	8701461	8701562	21
ENSG00000279579	LINC01666	lncRNA	2	8759077	8761335	21
ENSG00000286033		lncRNA	1	8762386	8836565	21
ENSG00000279213	SNX18P10	processed_pseudogene	1	8801362	8801880	21
ENSG00000280243	MTCO1P1	processed_pseudogene	1	8845566	8846646	21
ENSG00000278931		unprocessed_pseudogene	1	8857260	8880976	21
ENSG00000264462	MIR3648-2	miRNA	1	8986999	8987178	21
ENSG00000264063		miRNA	1	8987370	8987430	21
ENSG00000279501		lncRNA	1	8996496	9018670	21
ENSG00000279414	CDRT15P9	processed_pseudogene	1	9026821	9027329	21
ENSG00000280436		unprocessed_pseudogene	1	9053122	9059060	21
ENSG00000291050	TEKT4P2	lncRNA	30	9068325	9129773	21
ENSG00000188681	TEKT4P2	transcribed_unprocessed_pseudogene	1	9068414	9073609	21
ENSG00000279720	SOWAHCP2	processed_pseudogene	1	9082601	9083101	21
ENSG00000279381		processed_pseudogene	1	9088188	9088391	21
ENSG00000278932		lncRNA	18	9325013	9370490	21
ENSG00000279718	SNX18P12	processed_pseudogene	1	9364467	9365225	21
ENSG00000279208		unprocessed_pseudogene	1	9369285	9376645	21
ENSG00000279864	NCOR1P4	transcribed_processed_pseudogene	2	9529934	9559268	21
ENSG00000279211		processed_pseudogene	1	9580024	9580415	21
ENSG00000286103		lncRNA	1	9634244	9679906	21
ENSG00000275631	U1	snRNA	1	9646825	9647000	21
ENSG00000280081	LINC01667	transcribed_processed_pseudogene	6	9781910	9838011	21
ENSG00000279783		processed_pseudogene	1	9810501	9810848	21
ENSG00000264002	RN7SL52P	misc_RNA	1	9902344	9902627	21
ENSG00000252199	SNORA70	snoRNA	1	9907916	9908010	21
